### Short Comparison (top 10 lines) excluding the first events: CMSSW_7_6_0_pre6 vs CMSSW_7_6_0_pre7
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   +0.095033      +0.03%        34.92 ms/ev ->        38.41 ms/ev cosmicMuons
   -0.094673      -0.01%        14.18 ms/ev ->        12.90 ms/ev NjettinessAK8
   +0.091565      +0.01%        12.77 ms/ev ->        14.00 ms/ev TrackSeedMontobTecStep
   +0.089319      +0.00%         5.26 ms/ev ->         5.75 ms/ev muonsFromCosmics
   +0.088582      +0.01%        10.00 ms/ev ->        10.92 ms/ev mergedDuplicateTracks
   +0.088271      +0.02%        19.27 ms/ev ->        21.05 ms/ev TrackerCollisionSelectedTrackMonCommongeneralTracks
   +0.088000      +0.01%         9.75 ms/ev ->        10.65 ms/ev convStepTracks
   -0.087577      -0.03%        45.87 ms/ev ->        42.02 ms/ev stripPairElectronSeeds
   +0.087440      +0.01%         6.54 ms/ev ->         7.14 ms/ev particleFlowEGamma
   +0.086453      +0.01%        13.30 ms/ev ->        14.51 ms/ev generalTracks
   +0.082825      +0.00%         5.07 ms/ev ->         5.51 ms/ev patJets
   +0.082186      +0.03%        36.89 ms/ev ->        40.05 ms/ev earlyGeneralTracks
   +0.075244      +0.00%         4.91 ms/ev ->         5.29 ms/ev dedxTruncated40
   +0.074230      +0.02%        24.59 ms/ev ->        26.48 ms/ev mixedTripletStepSeedsB
   +0.073383      +0.01%        15.40 ms/ev ->        16.58 ms/ev CSCHaloData
   +0.071667      +0.02%        30.52 ms/ev ->        32.78 ms/ev pfCandidateToVertexAssociation
   +0.070648      +0.00%         5.77 ms/ev ->         6.19 ms/ev SingleTopSingleMuonHLTOfflineDQM
   +0.070216      +0.01%        21.81 ms/ev ->        23.40 ms/ev pfNoPileUp
   +0.069467      +0.01%        21.85 ms/ev ->        23.42 ms/ev pfNoPileUpIso
   +0.067784      +0.03%        48.50 ms/ev ->        51.90 ms/ev trackerDrivenElectronSeeds
   +0.066012      +0.00%         6.75 ms/ev ->         7.21 ms/ev dedxDQMHarm2SP
   +0.061107      +0.00%         5.91 ms/ev ->         6.28 ms/ev JetPlusTrackZSPCorJetAntiKt4
   +0.060353      +0.03%        49.74 ms/ev ->        52.83 ms/ev ecalDrivenElectronSeeds
   +0.058563      +0.00%         7.23 ms/ev ->         7.67 ms/ev RunHPSValidationRealData
   +0.058471      +0.01%        22.51 ms/ev ->        23.86 ms/ev pfNoPileUpJMEEI
   +0.058461      +0.13%       232.22 ms/ev ->       246.21 ms/ev particleFlowBlock
   +0.058135      +0.01%        23.57 ms/ev ->        24.98 ms/ev particleFlowTmp
   +0.058126      +0.00%         8.64 ms/ev ->         9.16 ms/ev muonMETValueMapProducer
   +0.058066      +0.01%        22.52 ms/ev ->        23.87 ms/ev pfNoPileUpJME
   +0.057937      +0.01%        12.78 ms/ev ->        13.54 ms/ev preDuplicateMergingGeneralTracks
   +0.057328      +0.00%         6.10 ms/ev ->         6.46 ms/ev siPixelClusters
   +0.056742      +0.03%        62.80 ms/ev ->        66.47 ms/ev lowPtTripletStepSeeds
   +0.056084      +0.02%        37.87 ms/ev ->        40.06 ms/ev tobTecStepSeedsPair
   +0.054770      +0.01%        26.68 ms/ev ->        28.18 ms/ev pfNoPileUpIsoPFBRECO
   +0.054195      +0.04%        82.57 ms/ev ->        87.17 ms/ev earlyMuons
   +0.054156      +0.01%        26.71 ms/ev ->        28.20 ms/ev pfNoPileUpEI
   +0.053222      +0.04%        82.67 ms/ev ->        87.19 ms/ev earlyDisplacedMuons
   +0.053097      +0.00%         6.37 ms/ev ->         6.72 ms/ev primaryVertexAssociation
   +0.052564      +0.01%        11.59 ms/ev ->        12.22 ms/ev tevMuons
   +0.052073      +0.00%         5.08 ms/ev ->         5.35 ms/ev ecalDrivenGsfElectrons
   +0.051412      +0.00%         6.77 ms/ev ->         7.13 ms/ev photons
   +0.050015      +0.23%       497.56 ms/ev ->       523.09 ms/ev muons1stStep
  ---------- ------------     --------                  ----       ------------
Job total:  11.138 s/ev ==> 11.825 s/ev

